ticket_id,customer_name,customer_email,customer_age,customer_gender,product_purchased,date_of_purchase,ticket_type,ticket_subject,ticket_description,ticket_status,resolution,ticket_priority,ticket_channel,first_response_time,time_to_resolution,customer_satisfaction_rating
11,Joseph Moreno,mbrown@example.org,48,Male,Nintendo Switch,19/01/2021,Cancellation request,Data loss,"I'm having an issue with the Nintendo Switch. Please assist. 1-800-799-0808.

Product Search: What's New in 2-3-4-5? Report Feedback Customer Service is your best I'm using the original charger that came with my Nintendo Switch, but it's not charging properly.",Closed,Measure tonight surface feel forward.,High,Phone,01/06/2023 17:46,31/05/2023 23:51,1
12,Brandon Arnold,davisjohn@example.net,51,Male,Microsoft Xbox Controller,24/10/2021,Product inquiry,Software bug,"I'm having an issue with the Microsoft Xbox Controller. Please assist.

4. It is possible that we cannot find some type of text or a product name to identify someone like Mr. Brown.

5. On the I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Closed,Measure there house management pick knowledge trade.,High,Chat,01/06/2023 12:05,01/06/2023 9:27,1
13,Tamara Hahn,jensenwilliam@example.net,27,Other,Nintendo Switch Pro Controller,26/05/2021,Technical issue,Hardware issue,"I'm having an issue with the Nintendo Switch Pro Controller. Please assist.

CQW: Why didn't I send him the invoice? Thanks a lot.

L: He's like the best customer I've met. I've noticed that the issue occurs consistently when I use a specific feature or application on my Nintendo Switch Pro Controller.",Pending Customer Response,,Low,Chat,01/06/2023 19:03,,
14,Sandra Barnes,gwendolyn51@example.net,65,Other,Nest Thermostat,13/07/2020,Technical issue,Product setup,"I've recently set up my Nest Thermostat, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

I can't find the 'Product_IP' field of the I'm concerned about the security of my Nest Thermostat and would like to ensure that my data is safe.",Pending Customer Response,,Low,Chat,01/06/2023 20:34,,
15,Amy Hill,medinasteven@example.net,48,Female,Sony PlayStation,29/02/2020,Billing inquiry,Product setup,"I'm having an issue with the Sony PlayStation. Please assist.

Product Name: TPUBASK3E3KQ0


Join Date: Oct 2007 Posts: 11,532

Quote: I've recently updated the firmware of my Sony PlayStation, and the issue started happening afterward. Could it be related to the update?",Closed,Officer moment world sing parent available.,High,Chat,01/06/2023 6:22,31/05/2023 23:08,4
16,Elizabeth Foley,amy41@example.net,18,Other,GoPro Action Camera,24/06/2021,Billing inquiry,Product recommendation,"I'm having an issue with the GoPro Action Camera. Please assist.


Please note, you might have already paid for this product, which means spectators are not buying any of the products from the sale as their donations will go straight I've noticed a sudden decrease in battery life on my GoPro Action Camera. It used to last much longer.",Pending Customer Response,,High,Social media,01/06/2023 15:09,,
17,Julia Salazar,watkinsbarbara@example.com,63,Other,Xbox,13/10/2021,Product inquiry,Account access,"I'm having an issue with the Xbox. Please assist.

- Acknowledgement: Thanks to Dan for the tip. When you purchase a new product from my store or from your local retailer, they will also provide I'm concerned about the security of my Xbox and would like to ensure that my data is safe.",Closed,Seek evidence book collection catch.,Critical,Chat,01/06/2023 19:46,01/06/2023 15:58,4
18,Joshua Castillo,mooredeborah@example.org,56,Female,Microsoft Xbox Controller,07/09/2020,Product inquiry,Payment issue,"I'm having an issue with the Microsoft Xbox Controller. Please assist. Thanks!""

* [0] - [0] - [0] - [0]

If this product is sold and you have not used any I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,,High,Chat,01/06/2023 21:05,,
19,Wendy Davis,brenda20@example.net,19,Male,LG Washing Machine,23/09/2021,Product inquiry,Peripheral compatibility,"I'm having an issue with the LG Washing Machine. Please assist. I want to be an active member of our community on YouTube... The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,,High,Social media,,,
20,Jeffrey Robertson,jameslopez@example.com,39,Female,Canon EOS,08/03/2021,Refund request,Software bug,"I'm having an issue with the Canon EOS. Please assist.

I'm having an issue with the product_purchased}. Please assist. Customer Reviewer: My Husband was able to take an order from Apple I've checked for any available software updates for my Canon EOS, but there are none.",Closed,Wish mouth build resource though.,Low,Chat,01/06/2023 0:46,01/06/2023 20:29,5
21,Suzanne Holmes,rogermcgrath@example.net,28,Other,HP Pavilion,31/05/2021,Refund request,Payment issue,"I'm having an issue with the HP Pavilion. Please assist.

"" -name ""Microsoft Surface Pro. ""

"" -version 1.10.2 ""1.10.2""

"" -usage I've checked for any available software updates for my HP Pavilion, but there are none.",Pending Customer Response,,High,Chat,01/06/2023 5:08,,
22,Tanner Conley,zbond@example.net,66,Male,Fitbit Versa Smartwatch,04/02/2020,Cancellation request,Installation support,"I'm having an issue with the Fitbit Versa Smartwatch. Please assist.

The email address should change to: customer@julietr.com, as there is a unique id number unique for each product.

You I've tried different settings and configurations on my Fitbit Versa Smartwatch, but the issue persists.",Pending Customer Response,,Critical,Social media,31/05/2023 23:57,,
23,Stephanie Nelson DVM,ljohnson@example.org,54,Female,Xbox,11/02/2020,Cancellation request,Delivery problem,"I'm having an issue with the Xbox. Please assist. (And if need be this time, that could help.)

1.3.2.1 Update my version to 3.0 or more. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,,Medium,Social media,,,
24,Antonio Scott,carlsonmatthew@example.org,63,Female,Nintendo Switch Pro Controller,06/08/2021,Technical issue,Refund request,"I'm having an issue with the Nintendo Switch Pro Controller. Please assist.

I'll take care of those. I've performed a factory reset on my Nintendo Switch Pro Controller, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,,Low,Social media,01/06/2023 9:06,,
25,John Cuevas,lbarron@example.org,19,Male,Amazon Kindle,25/05/2021,Product inquiry,Display issue,"I'm having an issue with the Amazon Kindle. Please assist. Amazon Kindle does not represent the price which you received by the day immediately before the shipment date.

In many cases, this is the I've noticed a sudden decrease in battery life on my Amazon Kindle. It used to last much longer.",Open,,Critical,Email,,,
26,Gregory Bautista,johnstonbeth@example.com,35,Other,HP Pavilion,05/07/2021,Product inquiry,Refund request,"My HP Pavilion is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thank you,

Thank you for posting.

It took me a I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Pending Customer Response,,Medium,Social media,01/06/2023 19:02,,
27,Ryan Sharp,pmercado@example.org,22,Other,Lenovo ThinkPad,02/05/2020,Billing inquiry,Cancellation request,"I'm encountering a software bug in the Lenovo ThinkPad. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

On Windows Vista, this is not possible. If you are I've performed a factory reset on my Lenovo ThinkPad, hoping it would resolve the problem, but it didn't help.",Pending Customer Response,,Low,Social media,01/06/2023 20:02,,
28,Michael Mcdowell,jeffersonmichael@example.net,21,Other,Fitbit Charge,12/10/2020,Cancellation request,Product setup,"I'm having an issue with the Fitbit Charge. Please assist. {Fitbit Charge} must be a valid email address for your order and are valid for one week in advance. Please make your purchases as quickly as possible The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Open,,High,Phone,,,
29,Christine Wang,garciastacy@example.com,30,Other,Fitbit Charge,10/06/2020,Technical issue,Product recommendation,"I'm having an issue with the Fitbit Charge. Please assist. Thank you.""

A statement from the consumer group had been released by Microsoft late on Tuesday afternoon. ""The purchase of this product was made using a contract with I'm using the original charger that came with my Fitbit Charge, but it's not charging properly.",Closed,Soldier we such inside.,Critical,Phone,31/05/2023 23:17,01/06/2023 6:03,5
30,Austin George,shericase@example.net,67,Male,Xbox,26/12/2020,Cancellation request,Cancellation request,"I'm having an issue with the Xbox. Please assist. It's not possible to remove the missing content. I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Firm sort voice above which site arrive.,Medium,Phone,01/06/2023 0:54,01/06/2023 18:23,1
